year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,             681260.30000,                  0.00000,             111113.70000,             570146.60000,
      2,             243002.55000,                  0.00000,              92363.05000,             150639.50000,
      3,             253478.80000,                  0.00000,              95717.20000,             157761.60000,
      4,             265441.55000,                  0.00000,              98571.75000,             166869.80000,
      5,             278128.35000,                  0.00000,             101536.85000,             176591.50000,
      6,             289024.40000,                  0.00000,             102733.85000,             186290.55000,
      7,             297162.95000,                  0.00000,             103721.70000,             193441.25000,
      8,             304407.25000,                  0.00000,             103841.95000,             200565.30000,
      9,             310224.40000,                  0.00000,             104162.00000,             206062.40000,
     10,             315079.95000,                  0.00000,             104841.60000,             210238.35000,
     11,             318346.80000,                  0.00000,             104183.45000,             214163.35000,
     12,             320498.25000,                  0.00000,             104433.50000,             216064.75000,
     13,             321987.55000,                  0.00000,             103946.70000,             218040.85000,
     14,             323442.60000,                  0.00000,             104042.35000,             219400.25000,
     15,             324082.00000,                  0.00000,             103758.10000,             220323.90000,
     16,             323743.55000,                  0.00000,             103637.55000,             220106.00000,
     17,             324851.15000,                  0.00000,             103337.85000,             221513.30000,
     18,             325034.75000,                  0.00000,             103519.10000,             221515.65000,
     19,             325080.70000,                  0.00000,             103399.00000,             221681.70000,
     20,             325700.10000,                  0.00000,             102874.30000,             222825.80000,
     21,             326679.05000,                  0.00000,             103340.95000,             223338.10000,
     22,             326202.90000,                  0.00000,             102542.70000,             223660.20000,
     23,             326795.55000,                  0.00000,             102942.60000,             223852.95000,
     24,             326915.85000,                  0.00000,             102724.20000,             224191.65000,
     25,             326875.70000,                  0.00000,             102663.25000,             224212.45000,
     26,             327629.25000,                  0.00000,             102796.30000,             224832.95000,
     27,             327864.85000,                  0.00000,             102127.10000,             225737.75000,
     28,             327848.90000,                  0.00000,             102384.70000,             225464.20000,
     29,             328708.20000,                  0.00000,             102671.65000,             226036.55000,
     30,             326798.35000,                  0.00000,             102553.85000,             224244.50000,
