year,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,
      0,             275415.00000,            1472825.00000,            1765540.00000,             666130.00000,             190870.00000,              60220.00000,              22470.00000,               7625.00000,               3720.00000,               2725.00000,               3740.00000,
      1,             779545.20000,            1181581.50000,            1589687.35000,             644794.10000,             184311.60000,              56295.45000,              24351.20000,              10713.60000,                  0.00000,                  0.00000,                  0.00000,
      2,             475060.50000,            1323878.35000,            1579553.70000,             717102.15000,             241155.05000,              80431.10000,              37381.15000,              16718.00000,                  0.00000,                  0.00000,                  0.00000,
      3,             405112.45000,            1242349.85000,            1572217.60000,             772763.60000,             292174.60000,             106994.25000,              54055.95000,              25609.70000,                  1.00000,                  1.00000,                  0.00000,
      4,             389256.95000,            1147607.80000,            1543876.00000,             811945.10000,             334958.25000,             133198.75000,              73121.05000,              37312.10000,                  3.00000,                  1.00000,                  0.00000,
      5,             393344.75000,            1070404.55000,            1502947.75000,             834832.85000,             369490.50000,             156284.15000,              92642.65000,              51329.05000,                  1.75000,                  1.00000,                  1.00000,
      6,             402821.85000,            1014099.20000,            1458081.85000,             847042.70000,             396259.95000,             176534.40000,             110908.05000,              65518.00000,                  9.85000,                  2.15000,                  2.00000,
      7,             411834.95000,             978324.80000,            1414525.50000,             850226.30000,             415717.45000,             192877.75000,             127618.00000,              80130.95000,                 13.60000,                  8.65000,                  2.05000,
      8,             420759.90000,             955257.20000,            1376442.50000,             848439.75000,             429445.10000,             205654.60000,             142059.30000,              93191.50000,                 15.95000,                  9.75000,                  4.45000,
      9,             428231.20000,             940940.45000,            1344301.80000,             843721.75000,             439376.80000,             215355.35000,             154118.75000,             105191.85000,                 23.75000,                 10.85000,                  7.45000,
     10,             435672.05000,             931848.05000,            1317341.95000,             838860.95000,             445260.85000,             222824.75000,             163934.00000,             115477.25000,                 36.85000,                 12.70000,                 10.60000,
     11,             440140.25000,             929119.00000,            1294980.40000,             832388.55000,             449688.15000,             229356.00000,             171405.85000,             124119.05000,                 50.85000,                 20.00000,                 11.90000,
     12,             444304.70000,             927469.85000,            1278025.80000,             825118.85000,             453594.45000,             234052.10000,             177415.10000,             131201.00000,                 56.95000,                 24.60000,                 16.60000,
     13,             447739.95000,             927035.35000,            1263927.55000,             819101.05000,             455060.60000,             237710.60000,             183224.15000,             137359.60000,                 69.50000,                 27.85000,                 23.80000,
     14,             450657.80000,             927831.90000,            1251708.60000,             814256.85000,             455747.70000,             240741.30000,             186928.40000,             143259.75000,                 80.45000,                 36.45000,                 30.80000,
     15,             452607.40000,             929760.65000,            1241360.45000,             809282.70000,             456189.00000,             242992.05000,             191602.05000,             147317.55000,                 87.30000,                 43.60000,                 37.25000,
     16,             453793.70000,             931602.05000,            1233419.00000,             804253.90000,             456899.65000,             245363.90000,             194313.05000,             151447.65000,                 95.35000,                 45.35000,                 46.40000,
     17,             454878.80000,             934299.70000,            1225529.15000,             799678.60000,             458053.05000,             246278.65000,             197402.85000,             154935.05000,                113.20000,                 57.00000,                 53.95000,
     18,             456026.70000,             936112.85000,            1219024.30000,             795939.50000,             458605.90000,             247941.10000,             199854.40000,             157506.25000,                134.25000,                 69.10000,                 65.65000,
     19,             456244.10000,             938990.00000,            1213359.60000,             792600.15000,             458073.40000,             249066.25000,             201858.35000,             160782.40000,                146.95000,                 73.65000,                 85.15000,
     20,             457555.15000,             941418.35000,            1209071.20000,             788302.40000,             457481.80000,             249732.00000,             204058.30000,             163327.10000,                158.25000,                 89.10000,                 86.35000,
     21,             459248.70000,             943232.65000,            1205055.35000,             785814.90000,             455360.15000,             250775.15000,             205458.90000,             165972.35000,                151.70000,                109.35000,                100.80000,
     22,             458987.45000,             946016.20000,            1202944.30000,             782111.35000,             454230.05000,             251385.70000,             207156.65000,             168063.55000,                164.10000,                104.15000,                116.50000,
     23,             460142.30000,             947567.40000,            1200700.45000,             778954.90000,             453562.15000,             251421.20000,             209029.95000,             169492.30000,                176.15000,                109.00000,                124.20000,
     24,             460737.55000,             950712.60000,            1197778.50000,             776514.05000,             452048.95000,             251634.35000,             209758.95000,             171655.35000,                190.95000,                114.30000,                134.45000,
     25,             461382.35000,             952750.15000,            1196768.00000,             773002.70000,             451488.10000,             251260.45000,             210442.50000,             173693.20000,                214.65000,                109.40000,                168.50000,
     26,             462785.25000,             954304.75000,            1196252.40000,             770267.45000,             450204.25000,             251142.30000,             210964.30000,             174834.65000,                232.10000,                121.55000,                171.00000,
     27,             463691.65000,             956293.90000,            1196357.50000,             767226.15000,             449136.80000,             250786.75000,             211023.20000,             176204.80000,                246.75000,                131.65000,                180.85000,
     28,             463345.95000,             960172.85000,            1195974.40000,             764987.70000,             447624.45000,             250556.80000,             210891.75000,             177131.30000,                248.55000,                144.95000,                201.30000,
     29,             464550.85000,             962408.15000,            1195551.50000,             763035.45000,             446629.50000,             249944.25000,             211432.55000,             177099.15000,                254.70000,                151.70000,                222.20000,
     30,             462674.25000,             964151.30000,            1196682.90000,             762594.80000,             445416.10000,             249274.40000,             211948.35000,             177862.60000,                269.05000,                162.30000,                243.95000,
