year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,       608073692251.27991,                  0.00000,        50152305067.08842,       557921387184.19617,
      2,       210642644484.45853,                  0.00000,        40369356699.63708,       170273287784.82138,
      3,       214998409243.77673,                  0.00000,        42134199724.18239,       172864209519.59439,
      4,       228527488814.78015,                  0.00000,        43989723425.27353,       184537765389.50626,
      5,       244362618594.76617,                  0.00000,        45874356705.08572,       198488261889.68109,
      6,       260035510104.32867,                  0.00000,        46911468405.27338,       213124041699.05637,
      7,       271461558312.85077,                  0.00000,        47893552442.90635,       223568005869.94485,
      8,       282950030456.79645,                  0.00000,        48578943185.81912,       234371087270.97949,
      9,       292088768936.61670,                  0.00000,        49098336106.54308,       242990432830.07556,
     10,       299289341242.89966,                  0.00000,        49774484743.99926,       249514856498.90021,
     11,       304782982260.08514,                  0.00000,        49722848344.35704,       255060133915.72903,
     12,       309135742097.42596,                  0.00000,        50150067541.63033,       258985674555.79630,
     13,       311280226558.53119,                  0.00000,        49978910490.90756,       261301316067.62463,
     14,       313481202076.33685,                  0.00000,        50174332823.81599,       263306869252.52194,
     15,       314833643557.87909,                  0.00000,        50285216954.90704,       264548426602.97382,
     16,       314712947708.23236,                  0.00000,        50285024085.08464,       264427923623.14853,
     17,       315820943942.24927,                  0.00000,        50197992291.82224,       265622951650.42712,
     18,       315744794093.51697,                  0.00000,        50309459305.27038,       265435334788.24762,
     19,       316768447400.98877,                  0.00000,        50333475227.81457,       266434972173.17383,
     20,       316656935784.42871,                  0.00000,        50125782840.72482,       266531152943.70544,
     21,       317304917018.43958,                  0.00000,        50348908901.45421,       266956008116.98474,
     22,       317903314439.53412,                  0.00000,        49905799440.17805,       267997514999.35703,
     23,       318535289242.52710,                  0.00000,        50172706115.08579,       268362583127.44376,
     24,       318600986218.80444,                  0.00000,        50119826011.81596,       268481160206.98859,
     25,       318898583083.15308,                  0.00000,        50207337192.90475,       268691245890.24857,
     26,       320470825983.97717,                  0.00000,        50285729534.72228,       270185096449.25571,
     27,       320934186603.60925,                  0.00000,        49870428786.17649,       271063757817.43375,
     28,       320280875058.78943,                  0.00000,        49954746381.99703,       270326128676.79364,
     29,       322294454673.87518,                  0.00000,        50044942852.54078,       272249511821.33417,
     30,       319299139477.71643,                  0.00000,        49944202252.54346,       269354937225.17493,
