BM, 45419,       1.000000,       0.549200,       0.097900,       0.253500,       0.431900,       0.695200,       1.461900,       0.000000,       1.820830,      12.035335,      15.980108,      18.295459,      19.733894,      20.417935,
1, 28964,       0.934646,       0.513307,       0.091502,       0.236933,       0.403673,       0.649766,       1.366358,       0.000000,       1.948151,      12.876898,      17.097507,      19.574757,      21.113773,      21.845646,
3,   210,       1.964186,       1.078731,       0.192294,       0.497921,       0.848332,       1.365502,       2.871444,       0.000000,       0.927015,       6.127390,       8.135740,       9.314523,      10.046855,      10.395112,
2, 16245,       1.117777,       0.613883,       0.109430,       0.283357,       0.482768,       0.777079,       1.634079,       0.000000,       1.628974,      10.767201,      14.296323,      16.367711,      17.654582,      18.266547,
