year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,       444639071004.98132,                  0.00000,         7609387919.99840,       437029683084.98511,
      2,       252147678156.54593,                  0.00000,         9491233416.54274,       242656444740.00266,
      3,       245093290884.14868,                  0.00000,        11642926041.27194,       233450364842.87598,
      4,       252684399106.03519,                  0.00000,        13547023396.90768,       239137375709.12720,
      5,       265630938597.03275,                  0.00000,        15073282163.99564,       250557656433.03711,
      6,       278300972066.62549,                  0.00000,        16096101815.99989,       262204870250.62555,
      7,       289622579641.23322,                  0.00000,        17321396411.81608,       272301183229.41742,
      8,       298839162172.25140,                  0.00000,        18019878590.54540,       280819283581.70612,
      9,       306980274412.16815,                  0.00000,        18481586063.27247,       288498688348.89624,
     10,       314610586858.51941,                  0.00000,        19179326154.36037,       295431260704.16046,
     11,       317838272049.80988,                  0.00000,        19634986004.36198,       298203286045.44861,
     12,       322799354000.34131,                  0.00000,        19948177323.63376,       302851176676.70782,
     13,       325290777771.15771,                  0.00000,        20151993861.27161,       305138783909.88593,
     14,       325893326095.41351,                  0.00000,        20448508549.99633,       305444817545.41797,
     15,       326620538908.88318,                  0.00000,        20417130347.08910,       306203408561.79437,
     16,       327377229722.59357,                  0.00000,        20594432207.81415,       306782797514.77985,
     17,       328041099283.25586,                  0.00000,        20774707948.36225,       307266391334.89276,
     18,       328143352799.71436,                  0.00000,        20888469840.72814,       307254882958.98663,
     19,       328292250544.62476,                  0.00000,        20755727949.26944,       307536522595.35602,
     20,       327386524700.91492,                  0.00000,        20540495519.26757,       306846029181.64838,
     21,       328055473345.25452,                  0.00000,        21101047028.54357,       306954426316.71112,
     22,       328685366010.34979,                  0.00000,        21021160281.45288,       307664205728.89752,
     23,       328721731400.88330,                  0.00000,        21052999571.99623,       307668731828.88623,
     24,       329312477806.70563,                  0.00000,        21064771513.99711,       308247706292.70929,
     25,       328404220509.32495,                  0.00000,        21049848260.72268,       307354372248.60425,
     26,       331630181061.78180,                  0.00000,        21399110127.99812,       310231070933.78564,
     27,       330508710389.63123,                  0.00000,        21093620646.72382,       309415089742.90894,
     28,       332261808307.95276,                  0.00000,        20990931885.27058,       311270876422.68201,
     29,       331426943677.06427,                  0.00000,        20757457125.63187,       310669486551.43341,
     30,       331185359828.43829,                  0.00000,        21141211587.26822,       310044148241.17029,
