year,     1,     2,     3,     4,     5,     6,     7,
      0,            2661170.00000,             961350.00000,             256670.00000,             138250.00000,              97515.00000,              75145.00000,             281180.00000,
      1,            2861447.60000,             947452.70000,             285312.90000,             151914.95000,              96609.60000,              52796.95000,              75745.30000,
      2,            2828915.85000,             966593.65000,             293587.40000,             156602.90000,              94302.05000,              49676.75000,              81601.40000,
      3,            2798952.35000,             984578.80000,             300846.75000,             161222.00000,              91953.50000,              46744.70000,              86981.90000,
      4,            2777977.35000,             995634.70000,             306892.85000,             165281.20000,              89991.85000,              44735.70000,              90766.35000,
      5,            2764672.30000,            1002293.00000,             311764.70000,             167306.85000,              88565.20000,              42927.45000,              93750.50000,
      6,            2754892.60000,            1006722.90000,             315234.30000,             169289.10000,              87741.15000,              42167.70000,              95232.25000,
      7,            2748935.40000,            1009455.55000,             316613.45000,             171419.25000,              85973.15000,              41376.60000,              97506.60000,
      8,            2745341.30000,            1012447.45000,             317455.00000,             171257.40000,              84796.95000,              41303.60000,              98678.30000,
      9,            2741462.70000,            1012900.45000,             320006.85000,             172257.50000,              83661.05000,              40695.00000,             100296.45000,
     10,            2741978.05000,            1011448.40000,             320429.10000,             172858.90000,              83271.40000,              40130.70000,             101163.45000,
     11,            2741380.60000,            1011674.60000,             320584.45000,             173103.50000,              82049.75000,              39677.40000,             102809.70000,
     12,            2742957.05000,            1009090.30000,             321291.55000,             173448.10000,              81516.05000,              39583.70000,             103393.25000,
     13,            2745527.95000,            1006960.95000,             320768.30000,             173566.50000,              81353.15000,              39106.10000,             103997.05000,
     14,            2747726.55000,            1004193.70000,             321049.90000,             173828.25000,              80295.15000,              39207.25000,             104979.20000,
     15,            2749963.60000,            1001867.85000,             321134.40000,             173725.10000,              80012.00000,              38945.30000,             105631.75000,
     16,            2752400.05000,            1000349.05000,             319846.55000,             174107.85000,              79506.75000,              38549.15000,             106520.60000,
     17,            2755196.85000,             998388.35000,             319401.20000,             173845.90000,              79170.60000,              38209.00000,             107068.10000,
     18,            2757851.40000,             996718.50000,             319066.05000,             173072.15000,              78834.45000,              38089.60000,             107647.85000,
     19,            2759096.35000,             996507.05000,             318305.45000,             172824.05000,              78573.10000,              37854.85000,             108119.15000,
     20,            2758723.10000,             995902.80000,             318711.00000,             173391.25000,              78355.80000,              38183.20000,             108012.85000,
     21,            2760321.70000,             994930.70000,             318661.75000,             172808.20000,              77914.65000,              37899.20000,             108743.80000,
     22,            2761510.40000,             994058.65000,             318282.05000,             172887.95000,              77984.30000,              37295.35000,             109261.30000,
     23,            2762779.70000,             993736.15000,             318229.75000,             171951.30000,              77775.55000,              37537.45000,             109270.10000,
     24,            2763646.70000,             993371.25000,             317842.90000,             171788.85000,              77590.45000,              37555.65000,             109484.20000,
     25,            2763661.10000,             992262.85000,             317793.30000,             172998.45000,              76775.45000,              37674.55000,             110114.30000,
     26,            2766875.30000,             990578.60000,             317264.20000,             171933.25000,              77398.75000,              37416.75000,             109813.15000,
     27,            2767612.20000,             989109.10000,             317980.55000,             171954.90000,              77146.60000,              37577.35000,             109899.30000,
     28,            2768976.05000,             988542.30000,             316724.55000,             172458.10000,              77032.15000,              37304.55000,             110242.30000,
     29,            2769987.05000,             987949.65000,             316870.65000,             171885.35000,              76664.40000,              37667.85000,             110255.05000,
     30,            2771109.70000,             987351.30000,             316370.55000,             171870.60000,              76767.20000,              37607.50000,             110203.15000,
