Latest_Cracking_ratio,Latest_Rutting_max,Latest_Condition_Year,Section_Length,Pavement_Width,Latest_Pavement_type,Road_Category_ID,Road_Class_ID,TV_Total,TV_Heavy,Region,Route_ID,det_no_c,det_no_r
0,6,2012,90,6.54,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.24,1,1,3,6013.5,1560,1,101001000,2,2
0,15,2012,100,7.6,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,7.22,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.98,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.3,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.78,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.38,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.84,1,1,2,6013.5,1560,1,101001000,2,2
0,10,2012,5,6.76,1,1,2,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.66,1,1,2,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.62,1,1,2,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.44,1,1,2,6013.5,1560,1,101001000,2,2
0,5,2012,100,6.46,1,1,3,6013.5,1560,1,101001000,2,2
0,7,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.32,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,5,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,7,2012,100,6.14,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.16,1,1,3,6013.5,1560,1,101001000,2,2
0,15,2012,100,6.44,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.62,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.58,1,1,2,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.1,1,1,2,6013.5,1560,1,101001000,2,2
0,13,2012,100,7.16,1,1,2,6013.5,1560,1,101001000,2,2
0,11,2012,100,7.26,1,1,2,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.9,1,1,2,6013.5,1560,1,101001000,2,2
0,9,2012,5,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,6.78,1,1,3,6013.5,1560,1,101001000,2,2
0.1,11,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.6,1,1,2,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.82,1,1,2,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.02,1,1,2,6013.5,1560,1,101001000,2,2
