year,risk,
      0,                  0.10328,
      1,                  0.15180,
      2,                  0.20427,
      3,                  0.25478,
      4,                  0.30332,
      5,                  0.34984,
      6,                  0.39460,
      7,                  0.43721,
      8,                  0.47786,
      9,                  0.51612,
     10,                  0.55203,
     11,                  0.58556,
     12,                  0.61662,
     13,                  0.64542,
     14,                  0.67191,
     15,                  0.69622,
     16,                  0.71854,
     17,                  0.73896,
     18,                  0.75771,
     19,                  0.77476,
     20,                  0.79037,
     21,                  0.80470,
     22,                  0.81779,
     23,                  0.82986,
     24,                  0.84097,
     25,                  0.85114,
     26,                  0.86054,
     27,                  0.86918,
     28,                  0.87719,
     29,                  0.88467,
     30,                  0.89158,
