year,     1,     2,     3,     4,     5,     6,     7,
      0,            2661170.00000,             961350.00000,             256670.00000,             138250.00000,              97515.00000,              75145.00000,             281180.00000,
      1,            2417386.05000,             947973.65000,             285871.40000,             152551.90000,             112574.65000,              89451.40000,             465470.95000,
      2,            2207840.50000,             924568.10000,             286875.60000,             155494.80000,             116559.70000,              95035.75000,             684905.55000,
      3,            2028096.90000,             891575.45000,             283552.10000,             154800.75000,             117450.50000,              96170.05000,             899634.25000,
      4,            1869680.00000,             855844.70000,             277174.95000,             151832.50000,             116405.30000,              96446.65000,            1103895.90000,
      5,            1730406.00000,             817628.35000,             268072.05000,             148705.20000,             113027.35000,              95723.15000,            1297717.90000,
      6,            1606083.30000,             779812.05000,             258165.25000,             143661.50000,             110070.30000,              93276.35000,            1480211.25000,
      7,            1495166.05000,             742407.40000,             247642.65000,             138442.65000,             105905.75000,              89843.05000,            1651872.45000,
      8,            1395313.20000,             706536.55000,             236360.45000,             132526.20000,             102144.75000,              86594.30000,            1811804.55000,
      9,            1305975.05000,             670395.85000,             226800.70000,             126805.45000,              97238.00000,              83165.60000,            1960899.35000,
     10,            1225217.15000,             636657.10000,             216700.90000,             120899.00000,              93725.85000,              79539.80000,            2098540.20000,
     11,            1151627.20000,             605626.05000,             205819.75000,             116183.95000,              89642.45000,              75803.00000,            2226577.60000,
     12,            1084953.85000,             575713.85000,             196498.80000,             111002.70000,              85919.35000,              72664.50000,            2344526.95000,
     13,            1023932.40000,             548551.70000,             187394.30000,             105884.50000,              81791.20000,              69381.85000,            2454344.05000,
     14,             968383.05000,             522512.40000,             179579.65000,             100886.90000,              78386.80000,              66333.85000,            2555197.35000,
     15,             917145.60000,             499145.90000,             171351.85000,              96711.00000,              74922.30000,              63464.85000,            2648538.50000,
     16,             869973.95000,             476677.20000,             164680.05000,              92489.25000,              71788.85000,              61234.65000,            2734436.05000,
     17,             827044.70000,             456051.25000,             157899.85000,              88821.00000,              68761.80000,              58164.95000,            2814536.45000,
     18,             787030.55000,             436912.30000,             151776.95000,              85108.55000,              66314.50000,              55795.25000,            2888341.90000,
     19,             749921.50000,             418795.70000,             146169.60000,              82590.65000,              63280.85000,              54083.60000,            2956438.10000,
     20,             715853.45000,             401530.20000,             140383.65000,              80022.95000,              61665.85000,              52014.25000,            3019809.65000,
     21,             684487.55000,             385894.65000,             135003.50000,              76969.50000,              59075.35000,              50909.20000,            3078940.25000,
     22,             655159.25000,             371557.45000,             130170.95000,              74171.65000,              57440.80000,              48895.70000,            3133884.20000,
     23,             628226.05000,             358067.05000,             125251.95000,              71792.05000,              55720.65000,              47100.40000,            3185121.85000,
     24,             602971.35000,             345216.45000,             121152.15000,              69141.90000,              53962.05000,              45679.85000,            3233156.25000,
     25,             579089.75000,             333100.45000,             117745.65000,              66854.15000,              52518.20000,              44257.00000,            3277714.80000,
     26,             556778.50000,             321840.15000,             113860.65000,              64925.70000,              50835.70000,              42926.55000,            3320112.75000,
     27,             536112.60000,             311185.45000,             110423.80000,              63128.40000,              49284.75000,              41941.00000,            3359204.00000,
     28,             516774.80000,             300959.80000,             107198.55000,              61496.25000,              47700.10000,              41034.90000,            3396115.60000,
     29,             498426.10000,             291715.55000,             103908.75000,              59498.35000,              46672.10000,              39939.50000,            3431119.65000,
     30,             481165.55000,             282872.00000,             100862.85000,              58306.65000,              45253.10000,              38677.95000,            3464141.90000,
