year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,         4999639895.00626,                  0.00000,             811540.00000,         4998828355.00626,
      2,         4999547885.00658,                  0.00000,             766640.00000,         4998781245.00658,
      3,         4999535130.00332,                  0.00000,             708840.00000,         4998826290.00332,
      4,         4999561600.00144,                  0.00000,             755880.00000,         4998805720.00143,
      5,         4999538710.00357,                  0.00000,             807520.00000,         4998731190.00357,
      6,         4999574180.00038,                  0.00000,             879720.00000,         4998694460.00038,
      7,         4999578304.99908,                  0.00000,             603040.00000,         4998975264.99908,
      8,         4999568505.00028,                  0.00000,             554430.00000,         4999014075.00028,
      9,         4999550284.99786,                  0.00000,             500990.00000,         4999049294.99786,
     10,         4999620204.99934,                  0.00000,             545690.00000,         4999074514.99934,
     11,         4999508429.99776,                  0.00000,             347910.00000,         4999160519.99777,
     12,         4999599729.99976,                  0.00000,             558170.00000,         4999041559.99976,
     13,         4999602739.99962,                  0.00000,             557250.00000,         4999045489.99962,
     14,         4999541664.99913,                  0.00000,             448530.00000,         4999093134.99913,
     15,         4999563049.99972,                  0.00000,             558240.00000,         4999004809.99971,
     16,         4999585889.99926,                  0.00000,             493900.00000,         4999091989.99925,
     17,         4999502890.00130,                  0.00000,             387790.00000,         4999115100.00129,
     18,         4999512574.99903,                  0.00000,             374420.00000,         4999138154.99902,
     19,         4999608244.99967,                  0.00000,             315350.00000,         4999292894.99967,
     20,         4999556029.99875,                  0.00000,             329070.00000,         4999226959.99875,
     21,         4999539014.99981,                  0.00000,             430940.00000,         4999108074.99981,
     22,         4999500884.99929,                  0.00000,             435060.00000,         4999065824.99930,
     23,         4999525284.99829,                  0.00000,             379460.00000,         4999145824.99829,
     24,         4999483124.99694,                  0.00000,             503450.00000,         4998979674.99694,
     25,         4999467104.99920,                  0.00000,             432980.00000,         4999034124.99920,
     26,         4999462275.00033,                  0.00000,             256320.00000,         4999205955.00033,
     27,         4999509610.00022,                  0.00000,             351080.00000,         4999158530.00021,
     28,         4999534570.00277,                  0.00000,             311480.00000,         4999223090.00277,
     29,         4999514665.00319,                  0.00000,             246290.00000,         4999268375.00319,
     30,         4999485484.99967,                  0.00000,             376260.00000,         4999109224.99967,
