year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,               3119.70000,                  0.00000,                  2.40000,               3117.30000,
      2,               3088.40000,                  0.00000,                  2.15000,               3086.25000,
      3,               3021.35000,                  0.00000,                  2.00000,               3019.35000,
      4,               2972.45000,                  0.00000,                  2.05000,               2970.40000,
      5,               2979.50000,                  0.00000,                  2.15000,               2977.35000,
      6,               2972.25000,                  0.00000,                  2.45000,               2969.80000,
      7,               2892.75000,                  0.00000,                  1.80000,               2890.95000,
      8,               2970.00000,                  0.00000,                  1.55000,               2968.45000,
      9,               2915.20000,                  0.00000,                  1.50000,               2913.70000,
     10,               3018.50000,                  0.00000,                  1.50000,               3017.00000,
     11,               2978.70000,                  0.00000,                  0.95000,               2977.75000,
     12,               3060.05000,                  0.00000,                  1.55000,               3058.50000,
     13,               3110.10000,                  0.00000,                  1.55000,               3108.55000,
     14,               3008.50000,                  0.00000,                  1.25000,               3007.25000,
     15,               2831.30000,                  0.00000,                  1.60000,               2829.70000,
     16,               2833.40000,                  0.00000,                  1.35000,               2832.05000,
     17,               2742.65000,                  0.00000,                  1.10000,               2741.55000,
     18,               2559.15000,                  0.00000,                  1.00000,               2558.15000,
     19,               2636.30000,                  0.00000,                  0.85000,               2635.45000,
     20,               2505.10000,                  0.00000,                  0.95000,               2504.15000,
     21,               2903.10000,                  0.00000,                  1.25000,               2901.85000,
     22,               2963.50000,                  0.00000,                  1.25000,               2962.25000,
     23,               2940.55000,                  0.00000,                  1.05000,               2939.50000,
     24,               2846.60000,                  0.00000,                  1.35000,               2845.25000,
     25,               2896.40000,                  0.00000,                  1.20000,               2895.20000,
     26,               2641.80000,                  0.00000,                  0.75000,               2641.05000,
     27,               2980.80000,                  0.00000,                  1.00000,               2979.80000,
     28,               2801.65000,                  0.00000,                  0.85000,               2800.80000,
     29,               2835.50000,                  0.00000,                  0.65000,               2834.85000,
     30,               2854.00000,                  0.00000,                  1.15000,               2852.85000,
