year,     1,     2,     3,     4,     5,     6,     7,
      0,            2661170.00000,             961350.00000,             256670.00000,             138250.00000,              97515.00000,              75145.00000,             281180.00000,
      1,            2628217.25000,             946270.45000,             285829.05000,             152044.15000,             108250.10000,              78303.65000,             272365.35000,
      2,            2625941.60000,             939801.65000,             289244.95000,             155346.70000,             106279.30000,              71338.45000,             283327.35000,
      3,            2620814.60000,             941215.40000,             292251.15000,             156324.05000,             103224.85000,              67058.45000,             290391.50000,
      4,            2612250.85000,             946748.25000,             294928.80000,             158599.40000,             101896.15000,              65347.25000,             291509.30000,
      5,            2602801.80000,             954034.20000,             297649.00000,             160392.25000,             100362.65000,              63912.55000,             292127.55000,
      6,            2599301.55000,             956243.95000,             300177.55000,             161579.80000,              98313.35000,              61955.15000,             293708.65000,
      7,            2599324.15000,             956407.20000,             301593.85000,             162547.20000,              96683.75000,              59865.45000,             294858.40000,
      8,            2601817.25000,             955644.60000,             301991.35000,             163118.20000,              94921.85000,              58191.35000,             295595.40000,
      9,            2604245.75000,             954678.25000,             302944.45000,             163494.40000,              93555.10000,              56489.50000,             295872.55000,
     10,            2606676.45000,             954830.25000,             302539.95000,             163632.70000,              92442.75000,              55635.50000,             295522.40000,
     11,            2610376.85000,             952796.85000,             303138.00000,             163612.90000,              90704.80000,              54931.95000,             295718.65000,
     12,            2614065.00000,             950538.35000,             302617.45000,             163702.70000,              90227.75000,              53967.70000,             296161.05000,
     13,            2617716.30000,             948243.25000,             302596.80000,             163883.70000,              89377.30000,              52938.45000,             296524.20000,
     14,            2620960.45000,             946125.35000,             302383.20000,             163423.20000,              88742.10000,              52946.00000,             296699.70000,
     15,            2625127.05000,             944330.90000,             301709.55000,             162822.75000,              88962.95000,              52281.20000,             296045.60000,
     16,            2626995.70000,             942789.40000,             301912.60000,             163254.10000,              88008.50000,              51975.45000,             296344.25000,
     17,            2630117.70000,             941486.50000,             300757.45000,             163189.60000,              87757.20000,              51690.80000,             296280.75000,
     18,            2631176.30000,             940316.10000,             301627.00000,             162745.40000,              86962.80000,              51367.50000,             297084.90000,
     19,            2633406.05000,             939213.65000,             300561.15000,             163077.35000,              86745.80000,              51578.05000,             296697.95000,
     20,            2634749.35000,             937990.85000,             300620.95000,             163640.75000,              86081.40000,              51412.80000,             296783.90000,
     21,            2637414.70000,             937417.25000,             299623.60000,             163171.20000,              86299.70000,              50689.95000,             296663.60000,
     22,            2638884.45000,             936825.85000,             299361.55000,             163110.85000,              86084.60000,              50807.40000,             296205.30000,
     23,            2640409.50000,             936219.05000,             299429.90000,             162259.20000,              86026.45000,              50729.15000,             296206.75000,
     24,            2642268.45000,             934941.40000,             299773.60000,             162325.25000,              85615.15000,              50326.50000,             296029.65000,
     25,            2644050.75000,             934283.10000,             299015.85000,             162623.30000,              85412.05000,              50506.05000,             295388.90000,
     26,            2645799.75000,             933005.40000,             298574.25000,             162544.45000,              85120.20000,              50154.30000,             296081.65000,
     27,            2646907.20000,             932909.30000,             298311.35000,             161703.60000,              85403.80000,              49935.80000,             296108.95000,
     28,            2648267.35000,             931810.85000,             297399.65000,             162036.80000,              84936.95000,              49931.40000,             296897.00000,
     29,            2649380.85000,             931350.95000,             298596.65000,             161058.75000,              84439.25000,              49813.15000,             296640.40000,
     30,            2651729.25000,             930028.65000,             297407.85000,             162488.25000,              84368.35000,              50040.55000,             295217.10000,
