year,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,
      0,             275415.00000,            1472825.00000,            1765540.00000,             666130.00000,             190870.00000,              60220.00000,              22470.00000,               7625.00000,               3720.00000,               2725.00000,               3740.00000,
      1,             321894.55000,            1287033.25000,            1829824.85000,             737570.85000,             197935.05000,              57488.20000,              24324.55000,              10622.00000,               3758.85000,                827.85000,                  0.00000,
      2,             332488.95000,            1192164.60000,            1802117.60000,             758078.25000,             249381.95000,              80039.65000,              37266.90000,              16801.20000,               2940.90000,                  0.00000,                  0.00000,
      3,             331944.25000,            1127807.45000,            1726503.80000,             799455.20000,             296806.80000,             106206.65000,              53752.70000,              25594.55000,               3207.60000,                  1.00000,                  0.00000,
      4,             329661.60000,            1080740.30000,            1654460.45000,             823868.25000,             337420.30000,             131037.55000,              72086.85000,              37122.00000,               4881.50000,                  1.20000,                  0.00000,
      5,             335884.25000,            1041940.60000,            1589373.70000,             834506.40000,             367633.10000,             153828.40000,              90602.00000,              50512.65000,               6996.70000,                  2.20000,                  0.00000,
      6,             345245.10000,            1013715.45000,            1532290.65000,             837196.95000,             389212.20000,             171890.40000,             108303.40000,              64197.45000,               9224.40000,                  4.00000,                  0.00000,
      7,             355752.45000,             994599.80000,            1482383.95000,             834254.20000,             404447.85000,             186695.85000,             123778.85000,              77750.50000,              11609.90000,                  5.65000,                  1.00000,
      8,             366247.30000,             982235.55000,            1441360.15000,             827114.25000,             414627.95000,             197937.70000,             137198.70000,              90349.20000,              14195.70000,                 11.30000,                  2.20000,
      9,             373046.65000,             977452.85000,            1407419.35000,             819170.45000,             421275.55000,             206263.65000,             148022.70000,             101823.40000,              16787.40000,                 13.70000,                  4.30000,
     10,             379093.50000,             976041.20000,            1380618.45000,             810558.45000,             425463.55000,             211967.25000,             156632.15000,             111813.10000,              19068.50000,                 15.70000,                  8.15000,
     11,             383182.20000,             976572.75000,            1360612.90000,             802391.15000,             428076.00000,             216532.95000,             162974.40000,             119612.60000,              21291.70000,                 23.00000,                 10.35000,
     12,             386669.10000,             978856.60000,            1345604.65000,             795358.70000,             428575.35000,             219526.20000,             168895.40000,             125469.60000,              22283.35000,                 25.45000,                 15.60000,
     13,             388136.55000,             981542.30000,            1332247.55000,             790246.30000,             429497.00000,             221587.80000,             173144.40000,             131020.60000,              23806.40000,                 30.05000,                 21.05000,
     14,             388726.35000,             984372.20000,            1323066.00000,             785315.55000,             429714.45000,             223826.15000,             176658.45000,             135306.60000,              24225.65000,                 42.70000,                 25.90000,
     15,             389625.85000,             986231.90000,            1314798.50000,             779920.65000,             430915.35000,             225619.65000,             179390.10000,             139300.45000,              25403.30000,                 42.25000,                 32.00000,
     16,             389578.95000,             987795.55000,            1307194.05000,             777746.70000,             431548.40000,             226635.65000,             182074.35000,             142183.95000,              26432.25000,                 48.95000,                 41.20000,
     17,             390662.85000,             988396.40000,            1303393.40000,             772726.05000,             431535.30000,             228098.40000,             184464.20000,             144947.65000,              26951.20000,                 56.25000,                 48.30000,
     18,             391072.65000,             990009.95000,            1297941.10000,             769834.30000,             431630.60000,             229148.60000,             186375.35000,             147824.80000,              27331.70000,                 57.30000,                 53.65000,
     19,             391698.45000,             990376.90000,            1294786.55000,             765954.95000,             431473.75000,             231127.55000,             188450.25000,             149561.00000,              27712.10000,                 62.35000,                 76.15000,
     20,             392520.65000,             991280.30000,            1290911.05000,             762122.70000,             430954.40000,             232473.60000,             190323.50000,             152020.35000,              28513.40000,                 72.40000,                 87.65000,
     21,             393088.15000,             993203.65000,            1286992.40000,             758804.35000,             430326.45000,             232542.90000,             192632.30000,             154440.55000,              29073.25000,                 90.95000,                 85.05000,
     22,             393601.00000,             995139.50000,            1283752.00000,             755545.45000,             429700.95000,             233783.35000,             193262.20000,             156668.75000,              29630.95000,                 92.00000,                103.85000,
     23,             395327.25000,             996297.65000,            1282122.95000,             751775.85000,             428635.55000,             233757.05000,             194720.40000,             158644.20000,              29799.60000,                 88.55000,                110.95000,
     24,             396624.00000,             998353.40000,            1278719.50000,             749289.45000,             427432.80000,             233893.70000,             195626.90000,             160289.95000,              30842.15000,                 90.25000,                117.90000,
     25,             398009.65000,            1001114.20000,            1275260.95000,             747018.65000,             426498.55000,             233536.30000,             196242.35000,             161831.20000,              31532.60000,                104.45000,                131.10000,
     26,             398218.75000,            1003335.70000,            1275303.30000,             744561.50000,             424891.30000,             233048.00000,             197123.05000,             163082.35000,              31460.25000,                115.65000,                140.15000,
     27,             399235.25000,            1004891.25000,            1275543.75000,             741183.85000,             424024.85000,             233020.50000,             197280.60000,             164424.90000,              31393.60000,                119.65000,                161.80000,
     28,             398730.05000,            1007820.10000,            1275904.15000,             738911.45000,             422540.20000,             233423.95000,             196966.55000,             165575.50000,              31107.90000,                122.35000,                177.80000,
     29,             398160.60000,            1010403.85000,            1276208.30000,             737400.00000,             420915.15000,             232284.05000,             197247.80000,             166321.45000,              32005.45000,                142.15000,                191.20000,
     30,             397439.65000,            1011607.65000,            1276608.05000,             736641.70000,             419425.40000,             232251.85000,             197086.45000,             166533.00000,              33322.00000,                169.30000,                194.95000,
