year,total,     1,     2,     3,
      0,                  0.00000,                  0.00000,                  0.00000,                  0.00000,
      1,             220138.60000,                  0.00000,               3965.60000,             216173.00000,
      2,             238617.45000,                  0.00000,               9464.70000,             229152.75000,
      3,             236066.10000,                  0.00000,              12613.80000,             223452.30000,
      4,             237707.60000,                  0.00000,              14599.30000,             223108.30000,
      5,             245074.20000,                  0.00000,              16553.10000,             228521.10000,
      6,             253792.95000,                  0.00000,              18859.95000,             234933.00000,
      7,             261316.75000,                  0.00000,              20407.65000,             240909.10000,
      8,             267107.20000,                  0.00000,              21822.50000,             245284.70000,
      9,             271117.55000,                  0.00000,              22536.20000,             248581.35000,
     10,             274990.55000,                  0.00000,              23678.80000,             251311.75000,
     11,             277107.80000,                  0.00000,              24139.50000,             252968.30000,
     12,             279838.50000,                  0.00000,              24736.45000,             255102.05000,
     13,             279616.80000,                  0.00000,              25079.75000,             254537.05000,
     14,             280848.70000,                  0.00000,              25674.10000,             255174.60000,
     15,             281040.05000,                  0.00000,              25414.10000,             255625.95000,
     16,             280290.70000,                  0.00000,              25779.80000,             254510.90000,
     17,             281054.60000,                  0.00000,              26106.55000,             254948.05000,
     18,             280600.15000,                  0.00000,              25764.55000,             254835.60000,
     19,             281406.25000,                  0.00000,              25942.15000,             255464.10000,
     20,             280678.35000,                  0.00000,              25712.50000,             254965.85000,
     21,             281492.80000,                  0.00000,              26057.20000,             255435.60000,
     22,             281192.65000,                  0.00000,              25876.70000,             255315.95000,
     23,             282189.05000,                  0.00000,              25936.15000,             256252.90000,
     24,             282413.35000,                  0.00000,              26108.85000,             256304.50000,
     25,             283487.60000,                  0.00000,              26274.55000,             257213.05000,
     26,             283379.65000,                  0.00000,              26532.45000,             256847.20000,
     27,             283651.05000,                  0.00000,              26250.40000,             257400.65000,
     28,             283368.50000,                  0.00000,              26275.85000,             257092.65000,
     29,             283028.55000,                  0.00000,              26373.90000,             256654.65000,
     30,             282859.95000,                  0.00000,              26019.30000,             256840.65000,
